weather,mood,action,explanation
nắng nhẹ,mong muốn,1,"Mong sao nắng nhẹ này sẽ kéo dài, tôi cảm thấy thật thư giãn."
nắng nhẹ,vui,1,"Cảm giác nắng nhẹ làm tôi cảm thấy vui vẻ và dễ chịu."
nắng nhẹ,buồn,0,"Nắng nhẹ không làm tôi cảm thấy vui hơn, tôi vẫn thấy buồn."
nắng nhẹ,hứng thú,1,"Trời nắng nhẹ, tôi cảm thấy hứng thú và muốn ra ngoài khám phá."
nắng nhẹ,mệt,1,"Mặc dù trời nắng nhẹ, nhưng tôi vẫn cảm thấy mệt mỏi và muốn nghỉ ngơi."
nắng nhẹ,khó chịu,0,"Nắng nhẹ không làm tôi cảm thấy khó chịu, nhưng tôi không muốn ra ngoài."
nắng nhẹ,chán,1,"Nắng nhẹ làm tôi cảm thấy dễ chịu nhưng cũng không đủ để xua đi sự chán nản."
trời ẩm ướt,rất muốn,1,"Môi trường ẩm ướt khiến bạn tràn đầy năng lượng và muốn thực hiện những dự án sáng tạo."
trời ẩm ướt,không muốn,0,"Không khí ẩm ướt làm bạn cảm thấy không thoải mái, không muốn ra ngoài."
trời ẩm ướt,muốn,1,"Bạn muốn ra ngoài tận hưởng cảm giác mát mẻ trong không khí ẩm ướt."
trời ẩm ướt,thèm,0,"Trời ẩm ướt khiến bạn chỉ muốn ở trong nhà, thèm một tách trà nóng."
trời ẩm ướt,mong muốn,1,"Thời tiết ẩm ướt thúc đẩy bạn mong muốn làm việc gì đó sáng tạo."
trời ẩm ướt,vui,1,"Không khí ẩm ướt khiến bạn cảm thấy vui vẻ và dễ chịu."
trời ẩm ướt,buồn,0,"Trời ẩm ướt khiến tâm trạng của bạn trở nên u sầu, không vui."
trời ẩm ướt,hứng thú,1,"Không khí ẩm ướt tạo cảm giác hứng thú và khiến bạn khám phá những điều mới mẻ."
trời ẩm ướt,mệt,0,"Thời tiết ẩm ướt làm bạn cảm thấy mệt mỏi và thiếu năng lượng."
trời ẩm ướt,khó chịu,0,"Không khí ẩm ướt khiến bạn cảm thấy khó chịu, thở không dễ dàng."
trời ẩm ướt,chán,0,"Trời ẩm ướt làm bạn cảm thấy chán nản, thiếu sức sống."
nắng,kiệt sức,0,"Trời nắng khiến bạn cảm thấy kiệt sức, không muốn làm gì."
nắng,đầy năng lượng,1,"Trời nắng khiến bạn tràn đầy năng lượng và muốn hoạt động cả ngày."
mưa,kiệt sức,1,"Trời mưa khiến bạn cảm thấy kiệt sức và chỉ muốn nằm nghỉ."
mưa,đầy năng lượng,0,"Trời mưa khiến bạn cảm thấy thiếu năng lượng, không muốn làm gì."
gió to,kiệt sức,1,"Trời gió to khiến bạn cảm thấy kiệt sức vì phải đối mặt với sức gió mạnh."
gió to,đầy năng lượng,0,"Trời gió to khiến bạn cảm thấy khó chịu và thiếu năng lượng."
trời sấm,kiệt sức,1,"Trời sấm khiến bạn cảm thấy kiệt sức, muốn tránh xa mọi thứ."
trời sấm,đầy năng lượng,0,"Trời sấm làm bạn không có đủ năng lượng để làm gì."
bão,kiệt sức,1,"Trời bão khiến bạn cảm thấy kiệt sức, không muốn đối phó với bất cứ điều gì."
bão,đầy năng lượng,0,"Trời bão khiến bạn thiếu năng lượng và chỉ muốn trú ẩn."
mưa phùn,kiệt sức,1,"Trời mưa phùn khiến bạn cảm thấy kiệt sức, muốn ở yên một chỗ."
mưa phùn,đầy năng lượng,0,"Trời mưa phùn khiến bạn không có năng lượng làm việc gì."
